Year,Power_Industry,Buildings,Transport,Other_Industrial_Combustion,Other_Sectors,Total
1/01/1970,48.74689452,37.93810701,101.4283924,103.3158855,60.41817078,351.8474502
1/01/1971,48.74689555,37.93810701,101.4282851,103.3158855,61.81656445,353.2457376
1/01/1972,48.44167198,38.94794664,110.2710923,105.1968527,67.57783752,370.4354011
1/01/1973,51.03451658,43.30814521,122.0576258,116.863272,69.85715499,403.1207146
1/01/1974,48.64232331,45.23120458,131.2433437,123.1996697,66.42524538,414.7417867
1/01/1975,48.08948392,45.68522052,137.3227515,120.1774738,64.41374622,415.6886759
1/01/1976,50.83713247,48.79815127,145.895987,130.7829598,72.88626086,449.2004914
1/01/1977,54.00017169,49.69477964,148.4329023,137.1919894,73.93289767,463.2527407
1/01/1978,58.39773913,50.01169578,158.3042473,145.2501149,77.41644876,489.3802459
1/01/1979,64.30540221,52.5208833,165.4403875,156.9549446,81.91709882,521.1387164
1/01/1980,67.05091494,54.68853261,164.7238219,159.2120422,82.14291288,527.8182245
1/01/1981,67.67785909,56.61482447,167.4545853,144.5553373,73.97359047,510.2761967
1/01/1982,64.9380244,57.31204927,167.7432118,142.8895872,71.74227796,504.6251507
1/01/1983,66.00867083,58.43504234,162.932615,136.6238536,67.3942579,491.3944397
1/01/1984,65.53454748,58.70445316,160.4194533,140.1536765,74.07082815,498.8829586
1/01/1985,60.9655758,62.76962115,160.0455849,144.2737335,73.93930867,501.993824
1/01/1986,70.60162119,62.69510957,171.1447287,153.3423829,81.46540264,539.249245
1/01/1987,66.65941319,67.51320551,173.0388387,163.6413917,80.75113287,551.603982
1/01/1988,76.96551175,70.69940715,176.2843082,163.4158963,83.19079858,570.5559219
1/01/1989,77.21786587,70.89498615,178.3502211,173.2127011,82.80901671,582.4847909
1/01/1990,71.2433868,70.92493013,185.1422515,169.904996,84.4447756,581.66034
1/01/1991,69.05913854,70.3338465,192.8883236,177.2337812,81.75975409,591.274844
1/01/1992,70.11957286,73.81043985,197.9749636,181.6756772,83.23681445,606.8174679
1/01/1993,69.89706221,76.17084208,209.8511444,186.0518295,90.41123127,632.3821095
1/01/1994,69.13790329,81.01878884,217.6638803,194.8762222,93.63882783,656.3356224
1/01/1995,76.45737328,82.27576324,235.468516,205.054263,97.30014532,696.5560608
1/01/1996,82.23910085,85.07172962,251.6301634,225.0017947,106.9985744,750.9413629
1/01/1997,89.9523554,86.29215788,260.5818998,247.328256,111.2320396,795.3867086
1/01/1998,97.39474992,83.57791694,269.7533719,247.5145842,112.2885226,810.5291456
1/01/1999,105.4450234,88.9735677,262.1371399,238.8795023,110.632496,806.0677293
1/01/2000,106.5086414,89.42150967,262.6737536,254.8801395,120.1965247,833.6805688
1/01/2001,107.3482377,89.7081116,263.6288996,252.9627275,114.9933578,828.6413342
1/01/2002,103.9242499,88.88713419,260.5495639,251.7759739,110.8110124,815.9479343
1/01/2003,108.9019061,87.058903,260.5799906,252.2041538,120.7648667,829.5098202
1/01/2004,122.0197143,92.99951397,279.1267991,266.2822588,121.3582375,881.7865236
1/01/2005,125.9315549,95.44576263,287.4484656,269.4841966,122.4754908,900.7854706
1/01/2006,132.5219709,94.89869825,292.5611641,271.1010199,122.8896696,913.9725228
1/01/2007,142.1827504,104.1064835,305.5949216,270.6773487,126.8528033,949.4143075
1/01/2008,159.7272019,106.4805752,319.5688128,307.5656527,130.9790432,1024.321286
1/01/2009,152.6121801,106.1388171,315.4737109,295.8830653,125.2288587,995.3366321
1/01/2010,177.9013945,107.9113157,345.3584911,314.0014127,131.2017764,1076.37439
1/01/2011,174.3988828,107.7943345,369.7469746,318.1316829,135.4672917,1105.539166
1/01/2012,208.8184055,111.5891789,400.4895767,310.5907714,141.5840176,1173.07195
1/01/2013,232.1239699,114.7753048,401.9158873,306.5575787,146.2269535,1201.599694
1/01/2014,248.006892,117.6458193,414.1599565,305.264199,152.6420899,1237.718957
1/01/2015,253.5016175,115.7964406,400.2444655,285.1423553,144.7147757,1199.399655
1/01/2016,233.0288057,114.6414558,402.1526417,272.7088749,151.3021899,1173.833968
1/01/2017,230.7808702,114.588887,398.9229762,270.5476659,151.7035353,1166.543935
1/01/2018,227.4269288,114.419623,395.3405948,265.48246,152.9930393,1155.662646
